time,open,high,low,close,tick_volume,spread,real_volume
2024-07-27 15:30:00,68798.84,68865.99,68798.28,68865.99,98,0,0
2024-07-27 15:31:00,68866.41,68866.41,68803.98,68830.67,91,0,0
2024-07-27 15:32:00,68833.58,68865.52,68808.05,68808.05,83,0,0
2024-07-27 15:33:00,68804.82,68810.62,68694.81,68703.14,133,0,0
2024-07-27 15:34:00,68704.31,68785.17,68704.31,68763.22,111,0,0
2024-07-27 15:35:00,68763.01,68763.01,68697.22,68714.92,96,0,0
2024-07-27 15:36:00,68717.82,68724.52,68666.42,68686.39,87,0,0
2024-07-27 15:37:00,68687.5,68814.55,68687.5,68732.62,144,0,0
2024-07-27 15:38:00,68731.01,68799.63,68693.39,68782.57,117,0,0
2024-07-27 15:39:00,68788.72,68816.1,68740.23,68807.7,115,0,0
2024-07-27 15:40:00,68808.72,68840.15,68803.72,68809.77,81,0,0
2024-07-27 15:41:00,68812.42,68826.97,68741.38,68761.27,95,0,0
2024-07-27 15:42:00,68761.52,68822.99,68759.6,68812.66,82,0,0
2024-07-27 15:43:00,68810.32,68830.25,68719.66,68719.66,123,0,0
2024-07-27 15:44:00,68719.01,68782.66,68700.85,68700.85,107,0,0
2024-07-27 15:45:00,68697.2,68749.55,68642.05,68652.24,93,190,0
2024-07-27 15:46:00,68652.38,68705.67,68596.15,68654.02,140,0,0
2024-07-27 15:47:00,68649.12,68700.68,68609.08,68656.02,133,108,0
2024-07-27 15:48:00,68659.39,68679.38,68634.68,68657.9,98,0,0
2024-07-27 15:49:00,68661.21,68788.14,68661.21,68788.14,127,0,0
2024-07-27 15:50:00,68793.34,68827.97,68768.69,68812.31,127,0,0
2024-07-27 15:51:00,68806.84,68812.3,68759.93,68765.54,106,0,0
2024-07-27 15:52:00,68772.5,68812.32,68759.39,68773.99,99,0,0
2024-07-27 15:53:00,68776.59,68832.56,68747.78,68823.69,100,0,0
2024-07-27 15:54:00,68824.06,68844.86,68809.13,68841.55,80,0,0
2024-07-27 15:55:00,68836.83,68915.85,68836.83,68910.72,97,0,0
2024-07-27 15:56:00,68910.04,68916.66,68834.05,68868.47,100,0,0
2024-07-27 15:57:00,68862.95,68899.52,68844.34,68889.47,73,0,0
2024-07-27 15:58:00,68886.22,68889.24,68849.64,68878.64,88,0,0
2024-07-27 15:59:00,68879.49,68900.34,68865.12,68895.89,82,0,0
2024-07-27 16:00:00,68894.09,68912.39,68853.36,68904.51,106,0,0
2024-07-27 16:01:00,68907.67,68968.72,68898.27,68967.65,88,0,0
2024-07-27 16:02:00,68962.75,68998.99,68940.72,68963.39,127,0,0
2024-07-27 16:03:00,68966.33,68995.82,68949.45,68974.25,90,0,0
2024-07-27 16:04:00,68974.26,69025.89,68964.58,69014.06,78,0,0
2024-07-27 16:05:00,69011.74,69023.44,68953.61,68960.89,82,0,0
2024-07-27 16:06:00,68955.26,69041.68,68950.13,69008.89,101,0,0
2024-07-27 16:07:00,69005.78,69051.57,69001.7,69049.29,90,0,0
2024-07-27 16:08:00,69049.29,69054.19,69011.95,69024.54,89,0,0
2024-07-27 16:09:00,69020.89,69020.89,68906.24,68926.6,99,0,0
2024-07-27 16:10:00,68931.42,68958.33,68858.34,68860.85,94,29,0
2024-07-27 16:11:00,68856.48,68888.29,68757.01,68757.52,91,56,0
2024-07-27 16:12:00,68756.22,68802.8,68756.22,68793.03,84,0,0
2024-07-27 16:13:00,68793.75,68796.78,68718.27,68742.79,86,0,0
2024-07-27 16:14:00,68745.99,68780.24,68695.42,68707.88,101,0,0
2024-07-27 16:15:00,68712.97,68790.82,68712.97,68760.22,103,0,0
2024-07-27 16:16:00,68761.67,68786.09,68702.9,68780.47,115,0,0
